Topic,Count,Name,Representation,Representative_Docs
-1,1812,-1_deutschland_fc_hamburg_zurueck,"['deutschland', 'fc', 'hamburg', 'zurueck', 'league', 'bayern', 'beim', 'bundesliga', 'berlin', 'zur']","['Niclas Fuellkrug im EM Kader BVB Star holt sich EM Ticket live im Radio ab', 'Bayern Frauen schiessen 1 FC Nuernberg zurueck in die 2 Liga', 'FC St Pauli stuermt zum Bundesliga Aufstieg']"
0,259,0_russland_moskau_russische_ostukraine,"['russland', 'moskau', 'russische', 'ostukraine', 'russlands', 'russen', 'russisches', 'russischen', 'ukraine', 'ukrainische']","['Russland baut neuen Flugplatz an der Grenze zur Ukraine', 'Ukraine meldet russische Vorstoesse in Region Charkiw', 'Feuert die Ukraine bald mit US Waffen auf Ziele in Russland']"
1,194,1_deutschlands_deutschland_berlin_deutsche,"['deutschlands', 'deutschland', 'berlin', 'deutsche', 'deutscher', 'deutschen', 'europas', 'europaeische', 'europa', 'norwegen']","['Warum in Deutschland nicht mehr saniert wird', 'Warum in Deutschland nicht mehr saniert wird', 'Macron und Scholz mit Forderungskatalog an neue EU Kommission']"
2,187,2_madrid_champions_fc_flensburg,"['madrid', 'champions', 'fc', 'flensburg', 'flensburgs', 'berlin', 'deutsche', 'europa', 'arsenal', 'league']","['FC Bayern verabschiedet Thomas Tuchel nicht', 'Champions League Halbfinale FC Bayern dreht Spiel gegen Real Madrid vergibt aber den Sieg', 'FC Bayern Borussia Dortmund Real Madrid Die Totgesagten tanzen durch die Champions League']"
3,183,3_boehmermann_bochum_schrecken_seine,"['boehmermann', 'bochum', 'schrecken', 'seine', 'ueberlebt', 'klopp', 'verhaeltnisse', 'guenstig', 'nicht', 'meinen']","['Wie der VfL Bochum die Kontrolle ueber seinen Keeper verlor', 'Sieg reicht nicht Klopp Team verpasst das Wunder', 'Gegen Jan Boehmermann wird nicht ermittelt']"
4,178,4_motorradfahrer_autounfall_motorrad_verkehrsunfall,"['motorradfahrer', 'autounfall', 'motorrad', 'verkehrsunfall', 'motorradfahrerin', 'autofahrer', 'radfahrer', 'biker', 'schwerverletzte', 'fahrer']","['Junger Motorradfahrer wird bei Unfall schwer verletzt', 'Motorradfahrer bei Unfall lebensgefaehrlich verletzt', 'Motorradfahrer bei Unfall mit Auto schwer verletzt']"
5,132,5_mochber_hoenigs_koenig_fuechse,"['mochber', 'hoenigs', 'koenig', 'fuechse', 'mittelhessen', 'mannheim', 'hunsrueck', 'kellermann', 'hoeness', 'frankfurt']","['Schauspieler Heinz Hoenig liegt im Koma', 'Heinz Hoenig wacht aus dem Koma auf', 'Heinz Hoenig spricht wieder']"
6,122,6_parteitag_politiker_politik_kanzlerkandidaten,"['parteitag', 'politiker', 'politik', 'kanzlerkandidaten', 'partei', 'republikaner', 'neuwahlen', 'kommunalwahlen', 'europawahl', 'wahlplakate']","['SPD Chefs Attacke auf Politiker ist Angriff auf Demokratie', 'Nach Attacke auf SPD Politiker Es ist fuenf vor zwoelf', 'Nach Attacke auf SPD Politiker Es ist fuenf vor zwoelf']"
7,115,7_f1_ferrari_newey_bull,"['f1', 'ferrari', 'newey', 'bull', 'red', 'sportlicher', 'konkurrenz', 'siegen', 'sprint', 'mavericks']","['F1 GP in Imola Norris jagt Verstappen vergeblich Huelkenberg verpasst Punkte Vettel ehrt Senna und Ratzenberger', 'F1 Legende Adrian Newey vor Red Bull Abgang Welche Folgen hat das fuer Verstappen', 'Verstappen Sieg im F1 Sprint von China Hamilton glaenzt Norris enttaeuscht Alonso stark']"
8,105,8_klimaschonenderes_klima_windkraftausbau_klimaschutz,"['klimaschonenderes', 'klima', 'windkraftausbau', 'klimaschutz', 'klimaanlagen', 'klimaneutralitaet', 'klimaschutzgesetz', 'klimaaktivisten', 'klimaaktivist', 'klimaschulen']","['Klima Labor China baut Kohlekraftwerke die es nie brauchen wird', 'Windkraftausbau im Klima Labor China koennte auf einen Knopf druecken und in Deutschland waere es dunkel', 'Windkraftausbau im Klima Labor China koennte auf einen Knopf druecken und in Deutschland waere es dunkel']"
9,104,9_protesten_protestcamps_protestcamp_protestieren,"['protesten', 'protestcamps', 'protestcamp', 'protestieren', 'protest', 'demonstranten', 'solidaritaetsdemo', 'demonstrieren', 'aktivisten', 'demonstration']","['Pro Palaestina Protestcamp darf vor Uni bleiben', 'Tausende demonstrieren zum Palaestinenser Gedenktag Nakba', 'Tausende ziehen bei Revolutionaerer 1 Mai Demo durch Berlin']"
10,102,10_polizistenmoerder_polizeibeamten_polizei_polizisten,"['polizistenmoerder', 'polizeibeamten', 'polizei', 'polizisten', 'polizeipraesenz', 'arians', 'bundespolizei', 'polizeieinsatz', 'polizist', 'polizeikraefte']","['Polizei verstaerkt die Suche nach vermisstem Arian wieder', 'Wie die Polizei weiter nach Arian sucht', 'Polizei sucht Fluss Oste nach vermisstem Arian ab']"
11,102,11_israel_israelisches_israelische_israels,"['israel', 'israelisches', 'israelische', 'israels', 'israelischer', 'netanjahu', 'hisbollah', 'agyptischer', 'irans', 'atombombe']","['Israel will Offensive in Rafah verstaerken', 'Scholz warnt Israel vor Rafah Offensive', 'Hamas sehr interessiert an Deal mit Israel']"
12,100,12_wohnhausbrand_hochhausbrand_zimmerbrand_brandstiftung,"['wohnhausbrand', 'hochhausbrand', 'zimmerbrand', 'brandstiftung', 'feuer', 'feuerwehrleute', 'brennt', 'brennen', 'kuechenbrand', 'lagerfeuer']","['Verdaechtiger nach Brand in Mehrfamilienhaus ermittelt', 'Bei Brand in Mehrfamilienhaus lebensgefaehrlich verletzt', 'Brand in Doppelhaushaelfte Mehrere 100 000 Euro Schaden']"
